迭代,目标值,资源缺口,总资源需求,均衡系数,资源冗余,任务组数
185,4516.62949076684,0,29,0.15866294907668393,30,3
186,4516.62949076684,0,29,0.15866294907668393,30,3
187,4516.62949076684,0,29,0.15866294907668393,30,3
191,4516.62949076684,0,29,0.15866294907668393,30,3
192,4516.62949076684,0,29,0.15866294907668393,30,3
193,3860.844880730683,0,29,0.09308448807306832,30,3
194,4388.208594573002,0,30,0.1358208594573002,30,3
195,4388.208594573002,0,30,0.1358208594573002,30,3
197,3969.807019971211,0,31,0.08398070199712111,30,3
198,3969.807019971211,0,31,0.08398070199712111,30,3
201,3969.807019971211,0,31,0.08398070199712111,30,3
202,3969.807019971211,0,31,0.08398070199712111,30,3
203,3969.807019971211,0,31,0.08398070199712111,30,3
205,4331.039133006439,0,32,0.11010391330064398,30,3
206,4211.727082472229,0,31,0.10817270824722289,30,3
207,4211.727082472229,0,31,0.10817270824722289,30,3
208,4211.727082472229,0,31,0.10817270824722289,30,3
209,4211.727082472229,0,31,0.10817270824722289,30,3
210,4211.727082472229,0,31,0.10817270824722289,30,3
211,3997.092130858679,0,30,0.0967092130858679,30,3
212,3997.092130858679,0,30,0.0967092130858679,30,3
215,3810.783075650341,0,30,0.07807830756503407,30,3
216,3810.783075650341,0,30,0.07807830756503407,30,3
219,3810.783075650341,0,30,0.07807830756503407,30,3
220,3810.783075650341,0,30,0.07807830756503407,30,3
225,3810.783075650341,0,30,0.07807830756503407,30,3
227,3810.783075650341,0,30,0.07807830756503407,30,3
228,3915.922120038779,0,29,0.09859221200387794,30,3
230,3915.922120038779,0,29,0.09859221200387794,30,3
233,3915.922120038779,0,29,0.09859221200387794,30,3
234,3871.307127161101,0,29,0.09413071271611011,30,3
235,3270.6578989860946,0,29,0.034065789898609436,30,3
236,3270.6578989860946,0,29,0.034065789898609436,30,3
238,3270.6578989860946,0,29,0.034065789898609436,30,3
239,3249.863983990544,0,29,0.0319863983990544,30,3
242,3249.863983990544,0,29,0.0319863983990544,30,3
243,3249.863983990544,0,29,0.0319863983990544,30,3
244,3249.863983990544,0,29,0.0319863983990544,30,3
246,3249.863983990544,0,29,0.0319863983990544,30,3
248,3867.7072043914463,0,29,0.09377072043914464,30,3
