迭代,目标值,通信中断_s,硬时限违反_s,联合完成_s,总能耗_kWh,中继架次
72,295580.0362611266,0.0,145177.47294796008,43706.665771459324,95.70866045871927,19
73,295580.0362611266,0.0,145177.47294796008,43706.665771459324,95.70866045871927,19
74,295580.0643845769,0.0,145177.47294796008,43706.665771459324,95.7138811969535,19
75,295580.0643845769,0.0,145177.47294796008,43706.665771459324,95.7138811969535,19
76,295580.0643845769,0.0,145177.47294796008,43706.665771459324,95.7138811969535,19
77,295580.0643845769,0.0,145177.47294796008,43706.665771459324,95.7138811969535,19
78,295580.0643845769,0.0,145177.47294796008,43706.665771459324,95.7138811969535,19
79,295580.0643845769,0.0,145177.47294796008,43706.665771459324,95.7138811969535,19
80,295580.0643845769,0.0,145177.47294796008,43706.665771459324,95.7138811969535,19
81,295580.0643845769,0.0,145177.47294796008,43706.665771459324,95.7138811969535,19
82,295580.0643845769,0.0,145177.47294796008,43706.665771459324,95.7138811969535,19
83,295580.0643845769,0.0,145177.47294796008,43706.665771459324,95.7138811969535,19
84,295580.0643845769,0.0,145177.47294796008,43706.665771459324,95.7138811969535,19
85,295580.0643845769,0.0,145177.47294796008,43706.665771459324,95.7138811969535,19
86,295580.04566053237,0.0,145177.47294796008,43706.665771459324,95.70658199314838,19
87,295580.04566053237,0.0,145177.47294796008,43706.665771459324,95.70658199314838,19
88,295580.04566053237,0.0,145177.47294796008,43706.665771459324,95.70658199314838,19
89,295580.04566053237,0.0,145177.47294796008,43706.665771459324,95.70658199314838,19
90,295580.04566053237,0.0,145177.47294796008,43706.665771459324,95.70658199314838,19
91,295580.04566053237,0.0,145177.47294796008,43706.665771459324,95.70658199314838,19
92,295580.04566053237,0.0,145177.47294796008,43706.665771459324,95.70658199314838,19
93,295580.04566053237,0.0,145177.47294796008,43706.665771459324,95.70658199314838,19
94,295580.04566053237,0.0,145177.47294796008,43706.665771459324,95.70658199314838,19
95,295580.04566053237,0.0,145177.47294796008,43706.665771459324,95.70658199314838,19
96,295580.0643845769,0.0,145177.47294796008,43706.665771459324,95.7138811969535,19
97,295580.06738606043,0.0,145177.47294796008,43706.665771459324,95.71438072025651,19
98,295580.06738606043,0.0,145177.47294796008,43706.665771459324,95.71438072025651,19
99,295580.06738606043,0.0,145177.47294796008,43706.665771459324,95.71438072025651,19
100,295580.06738606043,0.0,145177.47294796008,43706.665771459324,95.71438072025651,19
