架次编号,路线编号,候选排名,中继点,经度,纬度,悬停高度_m,通信中断_s,覆盖率,是否需要中继,中继能耗_kWh
T014,R014,10,O01-S012-0.35,109.2491511,23.024593574999997,80.0,0.0,1.0,True,0.7236444475905506
T014,R014,11,O01-S005-0.50,109.22957600000001,23.03232165,80.0,0.0,1.0,True,0.7258409419371763
T014,R014,12,O01-S001-0.65,109.23889883,23.02481358,240.0,0.0,1.0,True,0.7265233219597956
T014,R014,13,O01-S009-0.35,109.23900344500001,23.02488579,240.0,0.0,1.0,True,0.7270228452628144
T014,R014,14,S001-S011-0.65,109.228349305,23.03250746,80.0,0.0,1.0,True,0.7271041166668366
T014,R014,15,S001-S011-0.50,109.23178375,23.0327579,80.0,0.0,1.0,True,0.7278291876254697
T014,R014,16,S011-O01-0.35,109.224016235,23.023728339999998,300.0,0.0,1.0,True,0.7304180859021434
T014,R014,17,O01-S005-0.35,109.22995871,23.025178005,300.0,0.0,1.0,True,0.7313788679600146
T014,R014,18,S011,109.2203356,23.0319231,80.0,0.0,1.0,True,0.7329969138800384
T014,R014,19,S008-O01-0.65,109.224515125,23.03336013,80.0,0.0,1.0,True,0.7338153087306424
T014,R014,20,O01-S001-0.65,109.23889883,23.02481358,300.0,0.0,1.0,True,0.7372177664042401
T027,R015,1,S011-O01-0.35,109.224016235,23.023728339999998,80.0,0.0,1.0,True,0.6728717896058471
