K,分区编码,资源缺口,资源配置总规模,工作量均衡系数,组内冗余
2,0001000101100,4,22,0.422524,12
2,0001000101101,5,25,0.334378,10
2,0001000101110,4,23,0.341562,11
2,0001000101111,5,25,0.253416,10
2,0001000110000,4,23,0.51564,11
2,0001000110001,3,21,0.427494,12
2,0001000110010,5,25,0.434678,10
2,0001000110011,4,22,0.346532,12
2,0001000110100,4,22,0.410154,12
2,0001000110101,5,25,0.322008,10
2,0001000110110,4,22,0.329192,12
2,0001000110111,5,25,0.241046,10
2,0001000111000,4,24,0.43912,10
2,0001000111001,3,21,0.350974,12
2,0001000111010,6,26,0.358158,10
2,0001000111011,4,23,0.270012,11
2,0001000111100,4,22,0.333633,12
2,0001000111101,5,24,0.245487,11
2,0001000111110,4,23,0.252671,11
2,0001000111111,5,23,0.164525,12
2,0001001000000,3,21,0.621695,12
2,0001001000001,3,22,0.533549,11
2,0001001000010,5,25,0.540733,10
2,0001001000011,4,23,0.452587,11
2,0001001000100,4,23,0.516208,11
2,0001001000101,6,26,0.428062,10
2,0001001000110,4,23,0.435246,11
2,0001001000111,6,26,0.3471,10
2,0001001001000,4,23,0.545174,11
2,0001001001001,3,21,0.457028,12
2,0001001001010,6,26,0.464212,10
2,0001001001011,4,23,0.376066,11
2,0001001001100,4,22,0.439688,12
2,0001001001101,5,25,0.351542,10
2,0001001001110,4,23,0.358726,11
2,0001001001111,5,25,0.27058,10
2,0001001010000,4,23,0.532804,11
2,0001001010001,3,22,0.444658,11
2,0001001010010,5,25,0.451842,10
2,0001001010011,4,23,0.363696,11
2,0001001010100,4,23,0.427317,11
2,0001001010101,6,26,0.339171,10
2,0001001010110,4,23,0.346355,11
2,0001001010111,6,26,0.258209,10
2,0001001011000,4,23,0.456283,11
2,0001001011001,3,21,0.368137,12
2,0001001011010,6,26,0.375321,10
2,0001001011011,4,23,0.287175,11
2,0001001011100,4,22,0.350797,12
2,0001001011101,5,25,0.262651,10
2,0001001011110,4,23,0.269835,11
2,0001001011111,5,24,0.181689,11
2,0001001100000,2,19,0.420544,13
2,0001001100001,2,20,0.332398,12
2,0001001100010,4,23,0.339582,11
2,0001001100011,3,21,0.251436,12
2,0001001100100,3,21,0.315057,12
2,0001001100101,4,24,0.226911,10
2,0001001100110,3,21,0.234095,12
2,0001001100111,4,24,0.145949,10
2,0001001101000,3,22,0.344023,11
2,0001001101001,2,20,0.255877,12
2,0001001101010,5,24,0.263061,11
2,0001001101011,3,22,0.174915,11
2,0001001101100,3,21,0.238537,12
2,0001001101101,4,24,0.15039,10
2,0001001101110,3,22,0.157575,11
2,0001001101111,4,24,0.069429,10
2,0001001110000,3,21,0.331653,12
2,0001001110001,2,20,0.243507,12
2,0001001110010,4,23,0.250691,11
2,0001001110011,3,21,0.162545,12
2,0001001110100,3,21,0.226166,12
2,0001001110101,4,24,0.13802,10
2,0001001110110,3,21,0.145204,12
2,0001001110111,4,24,0.057058,10
2,0001001111000,3,22,0.255132,11
2,0001001111001,2,19,0.166986,13
2,0001001111010,5,24,0.17417,11
2,0001001111011,3,21,0.086024,12
2,0001001111100,3,20,0.149646,13
2,0001001111101,4,23,0.061499,11
2,0001001111110,3,21,0.068684,12
2,0001001111111,4,22,0.019462,12
2,0001010000000,2,20,0.728066,12
2,0001010000001,2,20,0.63992,12
2,0001010000010,4,24,0.647104,10
2,0001010000011,3,22,0.558958,11
2,0001010000100,2,20,0.622579,12
2,0001010000101,4,24,0.534433,10
