candidate_id,lon,lat,agl_m,altitude_msl_m,gateway_link_margin_db,gateway_los_blocked,energy_margin_at_60s_kwh,max_service_s,demand_samples,covered_samples,coverage_ratio,backhaul_available,backhaul_margin_db
P0035,109.21278607038295,23.0052097,150.0,313.62432861328125,10.43162947597557,True,2.4447869676012037,8061.120984876667,81,5,0.06172839506172839,True,10.43162947597557
P0036,109.21278607038295,23.0052097,300.0,463.62432861328125,10.43162947597557,True,2.4314594213049077,8017.503560634243,81,13,0.16049382716049382,True,10.43162947597557
P0037,109.21278607038295,23.018775275994358,60.0,325.4155578613281,9.211189568845327,True,2.431616270205221,8018.016884307994,81,20,0.24691358024691357,True,9.211189568845327
P0038,109.21278607038295,23.018775275994358,150.0,415.4155578613281,19.211189568845327,False,2.423619742427443,7991.846429762539,81,25,0.30864197530864196,True,19.211189568845327
P0039,109.21278607038295,23.018775275994358,300.0,565.4155578613281,19.211189568845327,False,2.4102921961311465,7948.2290055201165,81,63,0.7777777777777778,True,19.211189568845327
P0040,109.21278607038295,23.032340851988714,60.0,324.8070983886719,5.788076408765136,True,2.3793708857496063,7847.031989725982,81,19,0.2345679012345679,True,5.788076408765136
P0041,109.21278607038295,23.032340851988714,150.0,414.8070983886719,5.788076408765136,True,2.3789997849518354,7845.817478024187,81,44,0.5432098765432098,True,5.788076408765136
P0042,109.21278607038295,23.032340851988714,300.0,564.8070983886719,15.788076408765136,False,2.365672238655539,7802.200053781763,81,58,0.7160493827160493,True,15.788076408765136
P0043,109.21278607038295,23.04590642798307,60.0,364.2590026855469,2.8229801111399127,True,2.3260545375184187,7672.542122787551,81,17,0.20987654320987653,True,2.8229801111399127
P0044,109.21278607038295,23.04590642798307,150.0,454.2590026855469,2.8229801111399127,True,2.319688893381354,7651.709105611703,81,29,0.35802469135802467,True,2.8229801111399127
P0045,109.21278607038295,23.04590642798307,300.0,604.2590026855469,12.822980111139913,False,2.3063613470850575,7608.091681369279,81,52,0.6419753086419753,True,12.822980111139913
P0046,109.21278607038295,23.059472003977426,60.0,311.9859924316406,0.4828333575705983,True,2.256809769982605,7445.922883579432,81,16,0.19753086419753085,True,0.4828333575705983
P0047,109.21278607038295,23.059472003977426,150.0,401.9859924316406,0.4828333575705983,True,2.264668456137759,7471.642220087211,81,18,0.2222222222222222,True,0.4828333575705983
P0048,109.21278607038295,23.059472003977426,300.0,551.9859924316406,10.482833357570598,False,2.251340909841463,7428.024795844786,81,22,0.2716049382716049,True,10.482833357570598
P0049,109.21278607038295,23.073037579971782,300.0,536.812255859375,8.594986053294548,False,2.1913574865531578,7231.715410537607,81,23,0.2839506172839506,True,8.594986053294548
P0050,109.22742882717726,22.991644124005646,60.0,235.3758087158203,10.381822567444019,True,2.4349462634151298,8028.9150439040595,81,0,0.0,True,10.381822567444019
P0051,109.22742882717726,22.991644124005646,150.0,325.3758087158203,10.381822567444019,True,2.4429427911929076,8055.085498449514,81,2,0.024691358024691357,True,10.381822567444019
P0052,109.22742882717726,22.991644124005646,300.0,475.3758087158203,20.38182256744402,False,2.429953170537942,8012.574012669626,81,2,0.024691358024691357,True,20.38182256744402
P0053,109.22742882717726,23.0052097,60.0,212.52044677734375,31.860994845409564,False,2.5104172942721568,8275.911144890693,81,8,0.09876543209876543,True,31.860994845409564
P0054,109.22742882717726,23.0052097,150.0,302.52044677734375,31.860994845409564,False,2.5045775719449126,8256.799326365166,81,9,0.1111111111111111,True,31.860994845409564
P0055,109.22742882717726,23.0052097,300.0,452.52044677734375,31.860994845409564,False,2.491250025648616,8213.181902122744,81,14,0.1728395061728395,True,31.860994845409564
P0056,109.22742882717726,23.018775275994358,60.0,228.03150939941406,24.44893020016181,False,2.481211847844675,8180.329683855298,81,21,0.25925925925925924,True,24.44893020016181
