option_id,candidate_id,covered_demand_ids,service_start_s,service_end_s,launch_start_s,relay_ready_s,return_end_s,resource_end_s,charge_start_s,charge_end_s,energy_kwh,soc_after
SO-00206,P0048,"[""D-T004-01"", ""D-T005-01"", ""D-T010-01""]",750.5149475097656,4319.0751995308465,39.025999139824705,750.5149475097656,4855.9213139367575,5155.9213139367575,5155.9213139367575,6216.83847559753,1.3807191671649792,0.5685252602609441
SO-00207,P0048,"[""D-T005-01""]",2246.017937011719,3180.1895581818935,1534.528988641778,2246.017937011719,3717.0356725878046,4017.0356725878046,4017.0356725878046,4750.941051078717,0.5757670855160911,0.8200727857762216
SO-00208,P0048,"[""D-T005-01"", ""D-T010-01""]",2246.017937011719,4319.0751995308465,1534.528988641778,2246.017937011719,4855.9213139367575,5155.9213139367575,5155.9213139367575,6031.198781588173,0.9237599203727156,0.7113250248835263
SO-00209,P0048,"[""D-T010-01""]",3795.4669311523435,4319.0751995308465,3083.9779827824027,3795.4669311523435,4855.9213139367575,5155.9213139367575,5155.9213139367575,5838.862665128009,0.4503171721630803,0.8592758836990374
SO-00210,P0048,"[""D-T011-01""]",6783.520317382812,7398.670514035484,6072.031369012871,6783.520317382812,7935.516628441395,8235.516628441395,8235.516628441395,8929.821257187514,0.47828831691352086,0.8505349009645248
SO-00211,P0049,"[""D-T005-01""]",2246.017937011719,3180.1895581818935,1442.3251131858833,2246.017937011719,3807.9750699960105,4107.9750699960105,4107.9750699960105,4866.248714197796,0.6357505088043962,0.8013279659986262
SO-00212,P0049,"[""D-T005-01"", ""D-T010-01""]",2246.017937011719,4319.0751995308465,1442.3251131858833,2246.017937011719,4946.860711344963,5246.860711344963,5246.860711344963,6146.506444707253,0.9837433436610208,0.6925802051059311
SO-00213,P0049,"[""D-T005-01"", ""D-T010-01"", ""D-T015-01""]",2246.017937011719,5358.54501329219,1442.3251131858833,2246.017937011719,5986.330525106307,6286.330525106307,6286.330525106307,7315.007667642096,1.3013591200880978,0.5933252749724695
SO-00214,P0049,"[""D-T010-01""]",3795.4669311523435,4319.0751995308465,2991.774107326508,3795.4669311523435,4946.860711344963,5246.860711344963,5246.860711344963,5954.170328247089,0.5103005954513855,0.8405310639214421
SO-00215,P0049,"[""D-T010-01"", ""D-T015-01""]",3795.4669311523435,5358.54501329219,2991.774107326508,3795.4669311523435,5986.330525106307,6286.330525106307,6286.330525106307,7122.671551181932,0.8279163718784626,0.7412761337879805
SO-00216,P0049,"[""D-T015-01""]",4563.936444091797,5358.54501329219,3760.2436202659615,4563.936444091797,5986.330525106307,6286.330525106307,6286.330525106307,7027.2799362944825,0.5931062429247407,0.8146542990860186
SO-00217,P0049,"[""D-T011-01""]",6783.520317382812,7398.670514035484,5979.827493556977,6783.520317382812,8026.456025849601,8326.456025849602,8326.456025849602,9045.128920306593,0.538271740201826,0.8317900811869294
SO-00218,P0049,"[""D-T011-01"", ""D-T020-01""]",6783.520317382812,7501.5176155004,5979.827493556977,6783.520317382812,8129.303127314517,8429.303127314517,8429.303127314517,9160.742632456824,0.569697243427217,0.8219696114289947
SO-00219,P0049,"[""D-T020-01""]",6824.100309010106,7501.5176155004,6020.407485184271,6824.100309010106,8129.303127314517,8429.303127314517,8429.303127314517,9155.70535919059,0.5572978015410994,0.8258444370184064
SO-00220,P0055,"[""D-T022-01""]",744.4939412434896,1136.3442151690172,419.54862144168635,744.4939412434896,1278.357905535599,1578.357905535599,1578.357905535599,1913.338097948212,0.1701486691619622,0.9468285408868868
SO-00221,P0055,"[""D-T016-01""]",8657.740901692707,9202.37374957015,8332.795581890903,8657.740901692707,9344.387439936732,9644.387439936732,9644.387439936732,10071.275899492295,0.21683223342504748,0.9322399270546726
SO-00222,P0057,"[""D-T022-01""]",744.4939412434896,1136.3442151690172,407.7063573511422,744.4939412434896,1278.9927581779825,1578.9927581779825,1578.9927581779825,1947.6334160758242,0.18724604845604664,0.9414856098574854
SO-00223,P0057,"[""D-T016-01""]",8657.740901692707,9202.37374957015,8320.953317800358,8657.740901692707,9345.022292579115,9645.022292579115,9645.022292579115,10105.571217619905,0.23392961271913196,0.9268969960252713
SO-00224,P0058,"[""D-T022-01""]",744.4939412434896,1136.3442151690172,370.20635735114206,744.4939412434896,1328.9927581779825,1628.9927581779825,1628.9927581779825,2023.8720228466577,0.20057359475234293,0.9373207516398928
SO-00225,P0058,"[""D-T016-01""]",8657.740901692707,9202.37374957015,8283.453317800358,8657.740901692707,9395.022292579115,9695.022292579115,9695.022292579115,10181.809824390739,0.24725715901542825,0.9227321378076787
SO-00226,P0059,"[""D-T022-01""]",744.4939412434896,1136.3442151690172,324.96242326931383,744.4939412434896,1356.644883940719,1656.644883940719,1656.644883940719,2137.8873603809643,0.24444062295377567,0.9236123053269452
SO-00227,P0060,"[""D-T022-01""]",744.4939412434896,1136.3442151690172,302.46242326931383,744.4939412434896,1386.644883940719,1686.644883940719,1686.644883940719,2183.630524443465,0.25243715073155343,0.9211133903963895
SO-00228,P0060,"[""D-T016-01""]",8657.740901692707,9202.37374957015,8215.709383718531,8657.740901692707,9452.674418341852,9752.674418341852,9752.674418341852,10341.568325987548,0.29912071499463877,0.9065247765641754
SO-00229,P0061,"[""D-T022-01""]",744.4939412434896,1136.3442151690172,264.96242326931383,744.4939412434896,1436.644883940719,1736.644883940719,1736.644883940719,2259.869131214298,0.2657646970278497,0.916948532178797
SO-00230,P0061,"[""D-T010-01""]",3795.4669311523435,4319.0751995308465,3315.9354131781674,3795.4669311523435,4619.375868302548,4919.375868302548,4919.375868302548,5521.860784114246,0.3060240842218145,0.9043674736806829
SO-00231,P0061,"[""D-T011-01""]",6783.520317382812,7398.670514035484,6303.988799408637,6783.520317382812,7698.971182807186,7998.971182807186,7998.971182807186,8634.656744577165,0.333995228972255,0.8956264909461703
SO-00232,P0061,"[""D-T016-01""]",8657.740901692707,9202.37374957015,8178.209383718531,8657.740901692707,9502.674418341852,9802.674418341852,9802.674418341852,10417.80693275838,0.31244826129093506,0.9023599183465828
SO-00233,P0062,"[""D-T022-01""]",744.4939412434896,1136.3442151690172,189.5172622940703,744.4939412434896,1492.6826250754677,1792.6826250754677,1792.6826250754677,2420.7738076493038,0.31903044194226615,0.9003029868930419
SO-00234,P0062,"[""D-T010-01""]",3795.4669311523435,4319.0751995308465,3240.4902522029242,3795.4669311523435,4675.413609437297,4975.413609437297,4975.413609437297,5621.375102523891,0.35928982913623086,0.8877219283949278
SO-00235,P0062,"[""D-T011-01""]",6783.520317382812,7398.670514035484,6228.5436384333925,6783.520317382812,7755.008923941935,8055.008923941935,8055.008923941935,8712.333694583394,0.3872609738866714,0.8789809456604152
SO-00236,P0063,"[""D-T022-01""]",744.4939412434896,1136.3442151690172,201.24405367590623,744.4939412434896,1488.4558336936318,1788.4558336936318,1788.4558336936318,2411.7630187277887,0.31660047493798466,0.9010623515818799
SO-00237,P0063,"[""D-T010-01""]",3795.4669311523435,4319.0751995308465,3252.21704358476,3795.4669311523435,4671.186818055461,4971.186818055461,4971.186818055461,5616.161137046565,0.3568598621319494,0.8884812930837658
SO-00238,P0063,"[""D-T011-01""]",6783.520317382812,7398.670514035484,6240.270429815228,6783.520317382812,7750.782132560099,8050.782132560099,8050.782132560099,8707.11972910607,0.3848310068823899,0.8797403103492532
SO-00239,P0064,"[""D-T022-01""]",744.4939412434896,1136.3442151690172,163.74405367590623,744.4939412434896,1538.4558336936318,1838.4558336936318,1838.4558336936318,2472.4890923200583,0.32992802123428094,0.8968974933642873
SO-00240,P0064,"[""D-T022-01"", ""D-T004-01""]",744.4939412434896,1599.0794106485098,163.74405367590623,744.4939412434896,2001.1910291731244,2301.1910291731247,2301.1910291731247,2992.6645073773007,0.4713193309641259,0.8527127090737107
SO-00241,P0064,"[""D-T022-01"", ""D-T004-01"", ""D-T005-01""]",744.4939412434896,3180.1895581818935,163.74405367590623,744.4939412434896,3582.301176706508,3882.301176706508,3882.301176706508,4770.040931904846,0.9544363204882154,0.7017386498474327
SO-00242,P0064,"[""D-T004-01""]",750.5149475097656,1599.0794106485098,169.76505994218223,750.5149475097656,2001.1910291731244,2301.1910291731247,2301.1910291731247,2991.9171081619556,0.46947957904943044,0.853287631547053
SO-00243,P0064,"[""D-T004-01"", ""D-T005-01""]",750.5149475097656,3180.1895581818935,169.76505994218223,750.5149475097656,3582.301176706508,3882.301176706508,3882.301176706508,4769.2935326895,0.95259656857352,0.702313572320775
SO-00244,P0064,"[""D-T004-01"", ""D-T005-01"", ""D-T010-01""]",750.5149475097656,4319.0751995308465,169.76505994218223,750.5149475097656,4721.186818055461,5021.186818055461,5021.186818055461,6049.551263198957,1.3005894034301444,0.59356581142808
