sid,gtype,payload_probe_kg,full_payload_kg,range_empty_m,range_half_payload_m,range_max_payload_m,range_empty_endpoint_error_m,range_full_endpoint_error_m,range_positive,range_nonincreasing,range_empty_endpoint,range_full_endpoint,energy_outbound_empty_kwh,energy_outbound_probe_kwh,energy_outbound_full_kwh,energy_return_empty_kwh,energy_return_probe_kwh,return_payload_check_kg,return_payload_is_zero,return_energy_direct_q0_kwh,return_energy_actual_kwh,return_energy_matches_q0,energy_roundtrip_full_kwh,energy_limit_after_reserve_kwh,full_load_margin_kwh,full_load_roundtrip_feasible,rho,energy_nonnegative
S007,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,1.4956927203929826,3.2384155895825613,3.2384155895825613,1.437339164837427,1.437339164837427,0.0,True,1.437339164837427,1.437339164837427,True,4.675754754419988,6.4,1.7242452455800121,True,0.2,True
S008,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,1.51696188190682,1.9031556262732785,1.9031556262732785,1.4790624991907706,1.4790624991907706,0.0,True,1.4790624991907706,1.4790624991907706,True,3.382218125464049,3.6,0.21778187453595121,True,0.2,True
S008,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,1.212693976041187,2.1048312733476937,2.1048312733476937,1.1775016920905697,1.1775016920905697,0.0,True,1.1775016920905697,1.1775016920905697,True,3.2823329654382634,3.2,-0.08233296543826318,False,0.2,True
S008,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,2.5469663227991473,5.516990022794269,5.516990022794269,2.5091210820584062,2.5091210820584062,0.0,True,2.5091210820584062,2.5091210820584062,True,8.026111104852676,6.4,-1.6261111048526757,False,0.2,True
S009,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,1.0691530450914275,1.3411150983485598,1.3411150983485598,1.042078276572909,1.042078276572909,0.0,True,1.042078276572909,1.042078276572909,True,2.383193374921469,3.6,1.2168066250785312,True,0.2,True
S009,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,0.8544196786030248,1.4835499575946047,1.4835499575946047,0.8292788221215434,0.8292788221215434,0.0,True,0.8292788221215434,0.8292788221215434,True,2.312828779716148,3.2,0.887171220283852,True,0.2,True
S009,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,1.79660416278323,3.891676435686915,3.891676435686915,1.7695680725054521,1.7695680725054521,0.0,True,1.7695680725054521,1.7695680725054521,True,5.661244508192367,6.4,0.7387554918076331,True,0.2,True
S010,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,0.9414045762012905,1.1854009279851914,1.1854009279851914,0.8821470916333892,0.8821470916333892,0.0,True,0.8821470916333892,0.8821470916333892,True,2.0675480196185805,3.6,1.5324519803814196,True,0.2,True
S010,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,0.7580330469353712,1.3049448128029546,1.3049448128029546,0.7030082398366058,0.7030082398366058,0.0,True,0.7030082398366058,0.7030082398366058,True,2.0079530526395604,3.2,1.1920469473604398,True,0.2,True
S010,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,1.5518826876801866,3.3606258137087988,3.3606258137087988,1.492709856661668,1.492709856661668,0.0,True,1.492709856661668,1.492709856661668,True,4.853335670370467,6.4,1.5466643296295333,True,0.2,True
