任务组数,迭代,目标值,资源缺口,总资源需求,通信风险均衡系数,工作量均衡系数
3,181,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,183,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,184,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,185,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,186,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,187,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,189,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,190,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,191,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,192,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,193,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,194,5889.155758246085,0,29,0.05015839976426237,0.1955987762960837
3,195,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,197,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,198,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,199,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,200,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,202,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,203,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,204,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,205,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,206,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,207,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,208,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,209,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,210,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,211,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,212,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,213,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,214,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,215,5827.315091488534,0,28,0.05015839976426237,0.19941470962032867
3,216,6560.5323312630835,0,28,0.0664201226423071,0.2402129878416942
3,217,6560.5323312630835,0,28,0.0664201226423071,0.2402129878416942
3,219,6560.5323312630835,0,28,0.0664201226423071,0.2402129878416942
3,220,6560.5323312630835,0,28,0.0664201226423071,0.2402129878416942
3,221,6560.5323312630835,0,28,0.0664201226423071,0.2402129878416942
3,222,6641.156976057271,0,28,0.10088130824184764,0.1793530811220318
3,223,6641.156976057271,0,28,0.10088130824184764,0.1793530811220318
3,224,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,225,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,227,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,229,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,230,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,231,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,232,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,234,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,235,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,237,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,238,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,240,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,241,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,242,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,243,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,244,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,245,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,248,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
3,249,6498.576086800448,0,28,0.0664201226423071,0.23401736339543067
